설명, 정답, 결과
전세계 평균 염분은 몇인가?, 35psu, point 맞추면 +10 틀리면 -5
증발량-강수량이 클수록 염분은 증가? 또는 감소?, 증가, point 맞추면 +10 틀리면 -5
수온과 염분을 가지고 해수의 특성을 나타내는 그래프는?,수온염분도 (T-S도),point 맞추면 +10
위도 30~60° 부근에서 주로 부는 대기대순환 바람은?,편서풍,point 맞추면 +5 
지구의 자전으로 대기대순환은 몇 가지의 세포를 가지고 있는가?,3개,point 맞추면 +5 
밀도는 염분이 높을수록 커지는가 낮을수록 커지는가?,높을수록 ,point 맞추면 5 
해수에 녹아있는 물질은? (ex 염화나트륨 마그네슘 이온 등),염류,point 맞추면 +10 
적도방향에서 고위도 방향으로 이동하면서 바람이 오른쪽으로 휘어지는데 이에 영향을 주는 가상의 힘은?,전향력,point 맞추면 +15 
남아메리카 서쪽에서 흐르는 해류는? ,페루해류,point 맞추면 +10 
해수의 층상구조에서 수온이 수심에 따라 급격하게 내려가는 층은?,수온약층,point 맞추면 +10 
북한한류와 동한난류가 만나 형성되는 용존산소량이 많은 지역은?,조경수역,point 맞추면 +15 
멕시코만에 따듯한 물을 전달해주면서 북아메리카 연안을 따라 흐르는 해류는?,멕시코만류,point 맞추면 +15 
남극 대륙 주위를 돌면서 흐르는 해류는? ,남극 순환 해류,point 맞추면 +15 
대기대순환에서 0~30°부근에 형성된 순환의 이름은?,해들리순환,point 맞추면 +10 
적도 남쪽 부분에서 동에서 서로 흐르는 해류는?,남적도 해류,point 맞추면 +10 
어떤 새가 가장 수영을 잘할까? ,펭귄,point 맞추면 +5 
적도지역에서의 공기는 상승하는가 하강하는가?,상승,point 맞추면 +15 
대기 대순환에서 위도 30 ~ 60° 부근에서 나타나는 순환이름은?,페렐순환,point 맞추면 +10 
우리나라가 속해 있는 대륙은?,아시아,point 맞추면 +5 
적도 (위도 0°) 에서 해류에 몸을 맡긴다면 주로 이동하는 방향은? ,동쪽 ,point 맞추면 +10 
만약 미국 서쪽 해안에서 여행을 시작한다고 했을 때 가장 빠르고 쉽게 이동할 수 있는 방향은? ,남쪽(남서쪽),point 맞추면 +15 
표층해류에 영향을 주는 요인은?,바람(+지형),point 맞추면 +10 
해수에 따라 염분은 다르지만 염류의 상대적 비율은 일정하다는 법칙은?,염분비 일정의 법칙 ,point 맞추면 +15 
난류는 에너지를 방출하는가 흡수하는가?,방출,point 맞추면 +10 
북적도 해류에 영향을 주는 바람은?,(북동) 무역풍,point 맞추면 +10 
북반구 아열대 해역에서 환류는 어떤 방향으로 흐르는가?,시계방향,point 맞추면 +10 
산소와 이산화탄소 중 표층에 더 많이 녹아있는 기체는?,이산화탄소,point 맞추면 +15 
난류의 영향을 받는 같은 위도상에 있는 다른 바다에 비해 기후가 어떤가?,따듯하다(온화하다),point 맞추면 +10 
위도에 따라 흡수되는 태양복사에너지 양의 차이와 지구의 자전으로 전지구적 규모의 순환이 일어나는데 이것은?,대기대순환,point 맞추면 +10 
대부분의 건조한 대륙이 존재하는 반구는 북반구인가 남반구인가?,북반구 ,point 맞추면 +15 
해수의 표층에서 일어나는 해수의 이동은?,표층순환,point 맞추면 +5 
빙하의 해빙이 일어나는 지역은 다른 지역에 비해 염분이 높다? 낮다?,낮다,point 맞추면 +10 
