설명, 결과
선박이 에디 흐름(eddy current)에 의해 경로를 이탈했습니다. ,6칸 뒤로 이동
당신과 당신의 선원들은 돌고래 떼와 함께 물에서 놀기 위해 하루 휴식을 취합니다.,1턴 휴식
당신과 당신의 선원들은 요트 레이스를 보기 위해 우회합니다.,1턴 휴식
당신의 선원은 해류와 수온 정보를 위성에 송신하는 부표를 설치합니다.,+ 10 Discovery Points
당신은 안개가 낀 수평선으로 지는 해를 바라보며 시를 짓습니다.,+ 5 Discovery Points
당신은 산호초를 마주치고 다이버들을 보내 동식물 종을 확인하도록 합니다.,+ 10 Discovery Points
항해 중에 파고와 풍속을 측정하여 파고와 풍속의 관계를 파악합니다.,+ 5 Discovery Points
항해 중에 큰 빙하를 마주치고 조사합니다. 조사를 마치고 빙하를 돌아가는 데에 8시간이 소요됩니다.,+ 10 Discovery Points / 1턴 휴식
당신의 선원이 해파리에 쏘여 빠른 치료가 필요합니다. 항해 경로를 변경하고 선원을 치료하고 다시 돌아오는 데 수일이 소요됩니다.,15칸 뒤로 이동
Jason 인공위성의 해류 관측 자료와 기상 관측 자료를 활용해서 기상을 예측하는 컴퓨터 프로그램을 개발합니다.,+ 15 Discovery Points
원격으로 조종되는 배를 사용해서 당신의 선원들은 해구를 발견하였습니다.,+ 10 Discovery Points
당신은 멸종 위기종인 고래 떼를 마주쳤습니다. 따라가서 고래 떼의 섭식 행동을 관찰합니다.,+ 10 Discovery Points
당신의 선원들이 해적에게 붙잡혔습니다. 그들을 구조하고 배를 되찾아옵니다.,5칸 뒤로 이동 / 1턴 휴식
잠수함을 사용해서 당신의 선원들은 지구의 판들이 상호작용하는 원리를 연구합니다.,+ 10 Discovery Points
당신은 해양과 대기의 온도를 측정하고 Jason 인공위성 관측자료 값과 비교합니다.,+ 10 Discovery Points
밤에 예기치 않은 폭풍으로 인해 선박에 문제가 생겼습니다. 항해하는 데에 지연이 발생했습니다.,10칸 뒤로 이동
당신의 선박 주변을 이동하는 돌고래 떼를 보고 주요 해류를 따라 항해하고 있다는 것을 확인했습니다.,+ 10 Discovery Points
당신의 선원들이 잠수하여 해저의 열수구 근처에 사는 미지의 박테리아 표본을 획득했습니다.,+ 15 Discovery Points
당신은 이동 중에 기름 유출 사고를 목격했습니다. 새의 깃털을 이용해서 기름을 제거하는 방법을 테스트합니다. ,+ 10 Discovery Points
당신은 이동 중에 초대형 어망과 난파선 조각들로 이루어진 쓰레기 더미를 발견하여 항해를 멈추고 청소를 진행합니다.,+ 10 Discovery Points
태양 폭풍이 발생하여 Jason 인공위성을 하루 동안 마비시켰습니다. 해류의 방향에 대한 데이터를 수신하지 못하여 선박이 잘못된 방향으로 표류합니다.,10칸 뒤로 이동
심해 화산 폭발로 인해 쓰나미가 발생했습니다. 당신의 배가 거의 전복되었습니다.,15칸 뒤로 이동
당신의 연구용 선박에 엔진 문제가 발생했습니다. 수리에 시간이 필요합니다.,1턴 휴식
바람과 온도를 측정하여 인공위성으로 송신하는 부표에 문제가 생겼습니다. 배를 돌려 부표의 위치로 이동하여 수리합니다.,+ 10 Discovery Points / 1턴 휴식
바람과 온도를 측정하여 인공위성으로 송신하는 새로운 부표를 설치합니다.,+ 15 Discovery Points
폭풍으로 인해 해수면의 물이 소용돌이치는 현상이 일어났습니다. 폭풍을 피해서 이동합니다.,10칸 뒤로 이동
당신의 선박이 거대 해초에 걸려서 이동하지 못하게 되었습니다. 이 해초의 물질 중 일부는 아이스크림을 만드는 데에 사용됩니다. 해초 샘플을 수집하여 연구에 사용합니다.,+ 5 Discovery Points / 1턴 휴식
당신의 선박이 실수로 대형 선박 경로에 진입하여 교통의 방해가 발생했습니다.,- 5 Discovery Points
당신은 항해 중에 표류하는 부서진 선박과 15명의 춥고 배고픈 선원들을 발견했습니다. 선원들을 구출하고 배를 연안으로 끌고 이동합니다.,1턴 휴식
지구의 두 판이 마주치는 지점에 도달합니다. 원격으로 조종되는 선박을 보내서 판들이 충돌할 때 일어나는 현상들을 조사합니다.,+ 15 Discovery Points
Jason 인공위성 관측자료는 높은 해양 기온이 산호초에 악영향을 준다는 것을 보여줍니다. 산호가 죽기 시작하는지 확인하기 위해 우회하여 이동합니다. ,+ 10 Discovery Points
엘니뇨 시기에 큰 파도가 만들어져서 당신과 당신의 선원들은 서핑을 합니다.,- 10 Discovery Points
항해를 멈추고 깊이에 따른 수온과 염분 변화를 측정합니다.,+ 15 Discovery Points
해류를 측정하기 위해 부표를 띄우고 GPS를 활용하여 부표의 이동을 측정합니다. ,+ 15 Discovery Points
통신 케이블을 설치하기 위해 해저의 흐름을 측정합니다.,+ 10 Discovery Points
